,Name,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,precio_medio,MinPrice_USD,MaxPrice_USD,Precio_medio_USD,Categoria_minimo,Categoria_maximo,Categoria_promedio,Nacion,Cuisine_2
4609,Trattoria Ai Due Platani,Coloreto,40.0,40.0,EUR,['Emilian'],10.3794418,44.7687333,40.0,42.304,42.304,42.304,High,Medium,Medium,Italy,Emilian
4610,La Campanara,Galeata,25.0,50.0,EUR,['Regional Cuisine'],11.90544,43.98591,37.5,26.44,52.88,39.660000000000004,Medium,Medium,Medium,Italy,Regional Cuisine
4611,Fonte alla Vena,San Quirico d'Orcia,20.0,80.0,EUR,['Tuscan'],11.60968,43.0561,50.0,21.152,84.608,52.88,Low,High,Medium,Italy,Tuscan
4612,Osteria Didù,Imperia,45.0,45.0,EUR,['Ligurian'],8.0324832,43.8883554,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Ligurian
4613,Cibus,Ceglie Messapica,25.0,50.0,EUR,['Apulian'],17.51819,40.6465,37.5,26.44,52.88,39.660000000000004,Medium,Medium,Medium,Italy,Apulian
4614,Trattoria Lanzagallo,Gaibana,38.0,38.0,EUR,['Seafood'],11.6549983,44.7540004,38.0,40.1888,40.1888,40.1888,Medium,Medium,Medium,Italy,Seafood
4615,Burro & Alici,Marotta,30.0,55.0,EUR,['Seafood'],13.1445346,43.7664235,42.5,31.728,58.168000000000006,44.94800000000001,Medium,Medium,Medium,Italy,Seafood
4616,La Pineta,Sant'Anna,25.0,35.0,EUR,['Piedmontese'],7.3086768,44.4981324,30.0,26.44,37.016000000000005,31.728,Medium,Medium,Medium,Italy,Piedmontese
4617,Trattoria da Marino,Serravalle Pistoiese,25.0,55.0,EUR,['Tuscan'],10.8219738,43.8969441,40.0,26.44,58.168000000000006,42.304,Medium,Medium,Medium,Italy,Tuscan
4618,Osteria Piazzetta Cattedrale,Ostuni,35.0,60.0,EUR,['Regional Cuisine'],17.578646,40.732876,47.5,37.016000000000005,63.456,50.236000000000004,Medium,Medium,Medium,Italy,Regional Cuisine
4619,Trippi,Sondrio,16.0,52.0,EUR,"['Cuisine from Valtellina', 'Regional Cuisine']",9.901579,46.1699887,34.0,16.9216,54.995200000000004,35.958400000000005,Low,Medium,Medium,Italy,Cuisine from Valtellina
4620,Osteria del 36,Parma,45.0,45.0,EUR,['Emilian'],10.3347971,44.8023183,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Emilian
